Stock1,Stock2
2293.06,1125.81
2288.47,1121.64
2305.69,1127.79
2277.17,1121.06
2208.63,1089.47
2190.27,1083.61
2173.48,1079.25
2181.87,1079.38
2209.44,1092.54
2215.7,1094.16
2178.95,1075.63
2179.76,1071.69
2159.63,1067.36
2123.76,1051.87
2141.54,1055.33
2118.69,1047.22
2153.63,1064.59
2119.97,1048.92
2114.03,1049.33
2176.84,1080.29
2200.01,1090.1
2233.75,1104.51
2208.89,1091.84
2228.87,1098.87
2236.2,1104.18
2242.48,1109.55
2285.71,1121.9
2289.77,1121.1
2301.32,1125.07
2303.25,1124.66
2315.61,1125.59
2355.83,1142.71
2349.35,1139.78
2334.55,1134.28
2327.08,1124.83
2381.22,1148.67
2369.77,1142.16
2379.59,1147.7
2376.56,1144.73
2368.62,1141.2
2370.75,1146.24
2344.52,1137.03
2399.83,1160.75
2380.66,1159.97
2383.67,1158.06
2401.91,1165.15
2402.33,1165.32
2417.92,1169.77
2441.23,1178.1
2435.38,1173.81
2468.77,1176.19
2480.66,1184.71
2436.95,1165.9
2457.39,1178.17
2459.67,1180.26
2479.39,1183.08
2490.85,1185.62
2497.29,1185.64
2503.26,1182.45
2507.37,1183.78
2507.41,1183.26
2504.84,1184.38
2533.52,1193.57
2540.27,1197.96
2577.34,1221.06
2578.98,1225.85
2580.05,1223.25
2562.98,1213.4
2578.78,1218.71
2555.52,1213.54
2518.21,1199.21
2513.82,1197.75
2469.84,1178.34
2476.01,1178.59
2514.4,1196.69
2518.12,1199.73
2532.02,1197.84
2494.95,1180.73
2543.12,1198.35
2534.56,1189.4
2525.22,1187.76
2498.23,1180.55
2549.43,1206.07
2579.35,1221.53
2591.46,1224.71
2594.92,1223.12
2598.49,1223.75
2609.16,1228.28
2616.67,1233
2637.54,1240.4
2624.91,1240.46
2627.72,1241.59
2617.22,1235.23
2637.31,1242.87
2642.97,1243.91
2649.56,1247.08
2667.61,1254.6
2671.48,1258.84
2665.6,1256.77
2667.27,1257.54
2662.88,1258.51
2666.93,1259.78
2662.98,1257.88
2652.87,1257.64
2691.52,1271.87
2681.25,1270.2
2702.2,1276.56
2709.89,1273.85
2703.17,1271.5
2707.8,1269.75
2716.83,1274.48
2737.33,1285.96
2735.29,1283.76
2755.3,1293.24
2765.85,1295.02
2725.36,1281.92
2704.29,1280.26
2689.54,1283.35
2717.55,1290.84
2719.25,1291.18
2739.5,1296.63
2755.28,1299.54
2686.89,1276.34
2700.08,1286.12
2751.19,1307.59
2749.56,1304.03
2753.88,1307.1
2769.3,1310.87
2783.99,1319.05
2797.05,1324.57
2789.07,1320.88
2790.45,1321.87
2809.44,1329.15
2817.18,1332.32
2804.35,1328.01
2825.56,1336.32
2831.58,1340.43
2833.95,1343.01
2756.42,1315.44
2722.99,1307.4
2737.9,1306.1
2781.05,1319.88
2782.27,1327.22
2737.41,1306.33
2748.07,1308.44
2798.74,1330.97
2784.67,1321.15
2745.63,1310.13
2765.77,1321.82
2751.72,1320.02
2701.02,1295.11
2715.61,1304.28
2700.97,1296.39
2667.33,1281.87
2616.82,1256.88
2636.05,1273.72
2643.67,1279.2
2692.09,1298.38
2683.87,1293.77
2698.3,1297.54
2736.42,1309.66
2743.06,1313.8
2730.68,1310.19
2756.89,1319.44
2776.79,1328.26
2781.07,1325.83
2789.6,1332.41
2789.19,1332.87
2791.19,1332.63
2799.82,1335.54
2796.14,1333.51
2780.41,1328.17
2771.51,1324.46
2744.79,1314.16
2761.52,1314.41
2760.22,1314.52
2764.65,1319.68
2735.38,1305.14
2744.97,1312.62
2802.51,1330.36
2820.16,1337.38
2825.88,1335.25
2847.54,1347.24
2869.88,1355.66
2872.53,1360.48
2873.54,1363.61
2864.08,1361.22
2841.62,1356.62
2828.23,1347.32
2814.72,1335.1
2827.56,1340.2
2843.25,1346.29
2871.89,1357.16
2845.06,1342.08
2863.04,1348.65
2828.47,1337.77
2782.31,1329.47
2783.21,1328.98
2815,1340.68
2823.31,1343.6
2803.32,1333.27
2758.9,1317.37
2746.16,1316.28
2761.38,1320.47
2782.92,1325.69
2796.86,1331.1
2835.3,1345.2
2769.19,1314.55
2773.31,1312.94
2732.78,1300.16
2702.56,1286.17
2701.56,1284.94
2675.38,1279.56
2684.87,1289
2643.73,1270.98
2639.69,1271.83
2678.72,1287.87
2631.46,1265.42
2623.7,1267.64
2616.48,1271.5
2629.66,1278.36
2687.26,1295.52
2669.19,1287.14
2686.75,1283.5
2652.89,1268.45
2688.28,1280.1
2729.31,1296.67
2740.49,1307.41
2773.52,1320.64
2816.03,1339.67
2825.77,1337.88
2834.02,1339.22
2872.66,1353.22
2859.81,1343.8
2802.62,1319.49
2781.91,1313.64
2796.92,1317.72
2762.67,1308.87
2789.8,1316.14
2765.11,1305.44
2826.52,1326.73
2814.23,1325.84
2834.43,1343.8
2858.83,1345.02
2842.8,1337.43
2839.96,1331.94
2764.79,1304.89
2766.25,1300.67
2756.38,1292.28
2744.61,1286.94
2669.24,1254.05
2693.07,1260.34
2556.39,1200.07
2532.41,1199.38
2357.69,1119.46
2482.52,1172.53
2381.05,1120.76
2492.68,1172.64
2507.98,1178.81
2555.2,1204.49
2523.45,1192.76
2511.48,1193.89
2380.43,1140.65
2341.84,1123.53
2345.38,1123.82
2446.06,1162.35
2467.69,1177.6
2419.63,1159.27
2479.85,1176.8
2562.11,1210.08
2576.11,1212.92
2579.46,1218.89
2546.04,1204.42
2480.33,1173.97
2473.83,1165.24
2548.94,1198.62
2529.14,1185.9
2467.99,1154.23
2495.09,1162.27
2532.15,1172.87
2572.55,1188.68
2607.07,1209.11
2622.31,1216.01
2612.83,1204.09
2590.24,1202.09
2538.19,1166.76
2455.67,1129.56
2483.23,1136.43
2516.69,1162.95
2546.83,1175.38
2491.58,1151.06
2480.76,1160.4
2415.4,1131.42
2335.83,1099.23
2404.82,1123.95
2460.51,1144.03
2506.82,1164.97
2479.35,1155.46
2566.05,1194.89
2583.03,1195.54
2604.73,1207.25
2620.24,1203.66
2667.85,1224.58
2614.92,1200.86
2657.43,1225.38
2604.04,1209.88
2598.62,1215.39
2637.46,1238.25
2699.44,1254.19
2638.42,1229.05
2650.67,1242
2738.63,1284.59
2737.15,1285.09
2684.41,1253.3
2606.96,1218.28
2639.98,1237.9
2697.97,1261.15
2686.15,1253.23
2695.25,1261.12
2727.49,1275.92
2621.65,1229.1
2625.15,1239.69
2678.75,1263.85
2657.22,1251.78
2686.2,1257.81
2639.61,1236.91
2587.99,1216.13
2572.5,1215.65
2523.14,1192.98
2521.28,1188.04
2460.08,1161.79
2441.51,1158.67
2527.34,1192.55
2515.51,1195.19
2620.34,1246.96
2626.2,1244.58
2626.93,1244.28
2655.76,1257.08
2649.56,1258.47
2649.21,1261.01
2596.38,1234.35
2646.85,1255.19
2612.26,1236.47
2579.27,1225.73
2539.31,1211.82
2541.01,1215.75
2555.33,1219.66
2523.14,1205.35
2603.73,1241.3
2577.97,1243.72
2599.45,1254
2618.64,1265.33
2625.2,1265.43
2589.98,1249.64
2613.74,1263.02
2605.15,1257.6
2648.72,1277.06
2648.36,1277.3
2669.86,1281.06
2674.22,1277.81
2676.56,1280.7
2702.5,1292.08
2710.76,1292.48
2724.7,1295.5
2710.67,1289.09
2728.08,1293.67
2769.71,1308.04
2788.33,1314.5
2786.7,1315.38
2784.17,1316
2786.64,1314.65
2818.31,1326.05
2805.28,1318.43
2816.55,1316.33
2811.94,1313.01
2813.84,1312.41
2848.27,1324.09
2859.68,1325.54
2905.66,1344.9
2901.99,1344.33
2904.08,1347.05
2915.86,1349.96
2927.23,1351.95
2903.88,1342.64
2931.39,1351.77
2931.83,1350.5
2915.83,1343.23
2959.85,1358.04
2951.78,1361.23
2948.57,1362.21
2933.17,1357.66
2956.98,1363.46
2963.75,1365.74
2966.16,1367.59
2986.76,1372.18
2966.89,1365.68
2988.97,1374.09
2976.19,1369.63
2950.48,1364.33
2910.32,1343.36
2935.69,1352.63
2970.42,1365.91
2988.34,1370.87
2983.66,1371.09
3039.88,1395.95
3040.73,1394.28
3056.37,1402.6
3055.26,1404.17
3078.32,1409.75
3074.15,1405.52
3075.32,1402.89
3063.32,1392.78
3067.92,1397.11
3122.57,1416.51
3120.35,1412.52
3104.96,1405.54
3095.36,1403.28
3091.57,1408.47
3119.7,1419.04
3113.57,1413.38
3068.09,1398.96
3080.5,1398.08
3047.08,1382.2
2991.22,1358.59
3016.46,1368.71
3055.55,1387.57
3011.33,1370.26
2988.4,1369.57
3042.82,1390.78
3031.45,1385.14
3007.56,1376.92
3000.45,1378.53
2970.45,1366.94
2961.6,1371.97
3029.63,1390.69
3050.61,1399.98
3069.2,1403.36
3046.36,1397.91
3050.44,1405.82
3059.85,1402.31
3024.3,1391.57
2956.34,1369.1
2957.76,1369.58
2946.27,1363.72
2934.71,1354.58
2933.64,1357.99
2933.82,1353.39
2902.58,1338.35
2893.76,1330.66
2874.04,1324.8
2813.69,1304.86
2778.79,1295.22
2847.21,1315.99
2839.08,1316.63
2850.12,1318.86
2839.38,1320.68
2837.53,1317.82
2870.99,1332.42
2837.36,1313.32
2827.34,1310.33
2747.48,1278.04
2760.01,1278.18
2778.11,1285.5
2844.72,1315.13
2831.02,1314.99
2858.42,1325.66
2809.73,1308.93
2843.07,1324.18
2818.61,1314.88
2836.33,1329.1
2872.8,1342.84
2895.33,1344.78
2929.76,1357.98
2930.45,1355.69
2859.09,1325.51
2892.42,1335.02
2836.17,1313.72
2854.06,1319.99
2875.32,1331.85
2849.49,1329.04
2935.06,1362.16
2951.24,1365.51
2976.09,1374.02
2976.12,1367.58
2937.33,1354.68
2931.77,1352.46
2902.34,1341.47
2887.99,1341.45
2866.19,1334.76
2908.47,1356.78
2896.95,1353.64
2910.04,1363.67
2942.61,1372.78
2965.9,1376.51
2925.3,1362.66
2890.16,1350.52
2863,1338.31
2854.25,1337.89
2893.25,1360.02
2958.09,1385.97
2945.84,1385.3
2939.52,1379.32
2920.21,1375.14
2909.77,1365
2967.9,1390.99
2989.91,1394.23
3015.86,1401.35
3011.25,1402.22
3018.64,1402.8
3020.86,1405.87
3022.52,1404.11
3016.98,1403.93
3030.93,1405.53
3062.39,1415.51
3076.59,1418.16
3076.21,1418.13
3067.26,1413.17
3073.67,1413.49
3053.4,1402.08
3069.79,1411.13
3073.19,1410.44
3077.14,1409.3
3081.19,1410.49
3048.71,1399.48
3066.96,1406.58
3075.06,1404.94
3069.27,1403.44
3135.81,1432.12
3136.42,1437.92
3104.02,1429.08
3104.53,1433.56
3114.31,1436.56
3155.83,1459.99
3183.95,1465.77
3178.67,1461.19
3177.8,1459.32
3182.62,1461.05
3175.96,1460.26
3179.96,1460.15
3160.78,1456.89
3117.73,1441.59
3093.7,1433.32
3136.6,1447.15
3116.23,1440.67
3113.53,1444.49
3120.04,1445.75
3135.23,1450.99
3149.46,1461.4
3136.19,1460.93
3112.35,1455.88
3065.02,1441.48
3051.78,1432.56
3049.41,1432.84
3044.11,1428.59
3064.18,1440.13
3101.17,1454.92
3104.12,1460.91
3072.87,1457.34
3005.62,1433.19
3016.96,1433.82
2990.46,1413.11
2981.7,1408.75
2986.12,1412.97
2987.95,1411.94
2977.23,1412.16
3020.06,1427.59
2982.13,1414.2
2999.66,1417.26
3011.93,1428.39
2937.29,1394.53
2895.58,1377.51
2904.87,1379.85
2904.26,1380.03
2883.89,1374.53
2846.81,1355.49
2836.94,1353.33
2853.13,1359.88
2916.07,1386.89
2916.68,1387.81
2926.55,1391.03
2966.85,1409.15
2976.78,1406.29
2967.79,1398.94
2991.78,1409.93
3012.03,1415.95
3010.24,1416.18
3002.2,1409.46
2996.69,1407.05
2973.7,1409.28
2989.27,1413.94
2978.04,1418.07
2986.96,1418.55
3022.3,1427.84
3013.81,1428.48
2992.16,1419.45
2971.33,1413.58
3010.6,1430.36
3054.53,1446.79
3044.36,1435.81
3050.39,1443.69
3021.01,1430.15
3012.6,1426.66
2990.16,1419.83
2985.91,1418.1
2960.31,1402.43
3019.51,1426.19
3112.26,1462.42
3100.57,1459.37
3101.66,1466.47
3098.81,1461.89
3091.81,1457.15
3105.81,1461.02
3121.76,1472.12
3125.63,1472.05
3117.5,1470.68
3110.78,1472.34
3117.54,1472.63
3136,1480.94
3134.71,1485.98
3143.18,1492.56
3153.67,1494.81
3130.38,1494.82
3149.71,1502.96
3154.3,1500.18
3153.66,1507.84
3142.31,1501.96
3142.13,1498.11
3179.1,1513.17
3131.17,1495.71
3171.58,1511.29
3168.48,1512.12
3165.13,1509.39
3193.87,1517.93
3192,1517.01
3186.49,1519.43
3196.88,1520.33
3198.66,1521.38
3192.03,1519.79
3213.59,1530.94
3164.41,1511.95
3131.49,1502.42
3161.82,1515.6
3116.25,1487.85
3129.65,1496.94
3162.26,1515.99
3160.19,1514.68
3169.74,1518.2
3182.03,1525.2
3224.13,1539.79
3222.37,1541.46
3232.09,1544.26
3244.37,1551.18
3252.87,1556.22
3242.32,1552.48
3245.12,1554.52
3258.93,1563.23
3249.07,1560.7
3237.59,1552.1
3229.1,1548.34
3254.19,1558.71
3222.6,1545.8
3245,1556.89
3235.3,1551.69
3252.48,1563.77
3256.52,1562.85
3267.52,1569.19
3239.17,1562.17
3254.86,1570.25
3218.6,1553.69
3224.98,1559.98
3203.86,1553.28
3222.25,1563.07
3237.86,1568.61
3297.25,1587.73
3300.16,1593.37
3294.95,1588.85
3216.49,1552.36
3264.63,1574.57
3204.67,1552.01
3166.36,1541.61
3206.06,1555.25
3233.55,1562.5
3269.33,1578.78
3269.65,1578.79
3289.99,1585.16
3279.26,1582.24
3307.02,1593.61
3328.79,1597.57
3299.13,1582.7
3340.62,1597.59
3378.63,1614.42
3392.97,1617.5
3396.63,1625.96
3413.27,1632.69
3409.17,1626.67
3436.58,1633.7
3438.79,1633.77
3462.61,1650.34
3471.62,1658.78
3465.24,1650.47
3498.97,1667.47
3496.43,1666.29
3502.12,1669.16
3463.3,1655.35
3459.42,1650.51
3459.14,1649.6
3488.89,1660.06
3467.52,1648.36
3491.3,1654.41
3455.91,1630.74
3465.37,1640.42
3445.26,1631.38
3401.48,1608.9
3424.05,1622.56
3469.22,1643.38
3473.77,1642.81
3436.95,1626.13
3400.43,1612.52
3445.37,1636.36
3423.56,1626.73
3452.13,1639.04
3482.18,1651.81
3443.2,1628.93
3364.63,1588.19
3357.25,1592.43
3320.76,1573.09
3347.89,1588.03
3376.22,1603.26
3401.86,1613.2
3403.25,1606.28
3434.49,1614.96
3433.4,1614.08
3443.67,1615.41
3479.38,1631.89
3484.83,1640.46
3504.26,1652.32
3520.76,1652.62
3578.3,1675.02
3600.08,1680.19
3607.49,1682.5
3598.5,1676.26
3610,1680.91
3611.28,1689.37
3587.61,1692.09
3600.39,1695.53
3579.27,1692.39
3579.6,1685.94
3605.19,1690.25
3613.16,1691.65
3599.14,1685.33
3616.47,1685.96
3626.37,1685.73
3675.74,1706.87
3689.59,1709.67
3692.95,1707.14
3665.77,1697.37
3654.01,1690.91
3669.12,1697.48
3660.11,1691.42
3669.95,1689.47
3684.44,1694.16
3669.27,1685.39
3606.12,1661.32
3602.78,1655.83
3589.09,1646.06
3613.59,1652.35
3599.79,1642.8
3638.71,1656.96
